id,property,decision,brand,city,state,keys,guidance,broker,brokerContact,type,status,cfo,date,notes,address,yearBuilt,yearReno,owner,mgmtCo,structure,glLessor,glExpiry,glRent,roomsRev,fbRev,otherRev,totalRev,gop,noi,occ,adr,revpar,rgi,compSet,ourBid,bidDate,pipEst,debt,franchiseExp,ld,motivation,internalOwner,nextStep,driveUrl,vdrUrl,emailUrl
1,Hampton Inn & Suites Fultondale Birmingham I-65,Pass,Hampton Inn,Fultondale,AL,,,HREC,,Select-service,New listing,,Jun 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Holiday Inn Express Fairhope-Point Clear,Pass,Holiday Inn Express,Fairhope,AL,87,,Marcus & Millichap,,Select-service,RFO (renovated 2026),,Jun 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Holiday Inn Express Montgomery EastChase,Pass,Holiday Inn Express,Montgomery,AL,,,HWE / Revere,,Select-service,CFO Jun 30 (double-digit yield),,Jun 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Courtyard Orlando Universal,Pass,Courtyard,Orlando,FL,,,JLL,,Select-service,CFO best & final Jul 9,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Downtown Orlando Two-Hotel Portfolio,To review,Marriott/other,Orlando,FL,,,Marcus & Millichap / Hunter,,Portfolio,Just listed,,Jul 7,★ Bhavnesh forwarded | Bhavnesh forwarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fairfield Titusville / Kennedy Space Center,Pass,Fairfield Inn,Titusville,FL,,,JLL,,Select-service,CFO Jul 21 (was Jul 14),,Jul 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hampton Inn & Suites Panama City Beach Pier Park,To review,Hampton Inn,Panama City Beach,FL,,,Hunter,,Select-service,Just listed,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Hilton Garden Inn Jacksonville Airport,To review,Hilton Garden Inn,Jacksonville,FL,,,Kabani Hotel Group,,Select-service,CFO,,Jun 10,★ Bhavnesh: worth a bid at right price | Part of 3 FL opps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Hilton Garden Inn Pensacola Downtown,To review,Hilton Garden Inn,Pensacola,FL,,,Hodges Ward Elliott,,Select-service,OM available,,Jun 24,★ Bhavnesh: add to radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Hilton Garden Inn Pensacola Downtown,To review,Hilton Garden Inn,Pensacola,FL,,,Hodges Ward Elliott,,Select-service,OM available,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Home2 Suites Tallahassee State Capitol,Pass,Home2 Suites,Tallahassee,FL,,,Revere,,Extended-stay,Marketing (Tier 1 open),,Jun 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Home2 Suites by Hilton Destin,Pass,Home2 Suites,Destin,FL,112,,Cushman & Wakefield,,Extended-stay,★ Bhavnesh eval ~$185k/key,,May 13,Off-market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Hotel Maren (Curio Collection),Pass,Curio Collection,Fort Lauderdale,FL,,,Broker,,Full-service,★ Bhavnesh fwd - sign CA/UW,,Jun 16,Oceanfront; across from St. Regis; CFO 6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Hyatt Place Jacksonville St. Johns Town Center,Underwrite,Hyatt Place,Jacksonville,FL,,,Broker (OM avail),,Select-service,TPG call scheduled Jul 14,,Jun 29,On SLP select-service target list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Residence Inn Port St. Lucie,Underwrite,Residence Inn,Port St. Lucie,FL,125,$22-24M guidance,Hunter,,Extended-stay,CFO Jun 25 · Bhavnesh flagged,,Jun 11,★ Bhavnesh: dig in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SpringHill Suites Miami Airport S Blue Lagoon,To review,SpringHill Suites,Miami,FL,,,JLL,,Select-service,CFO Jul 10,,Jul 7,★ Bhavnesh: underwrite; ~$150k/key (JLL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SpringHill Suites Pensacola,Pass,SpringHill Suites,Pensacola,FL,,,JLL,,Select-service,CFO Jul 10,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Staybridge Suites Orlando Royale Parc,Pass,Staybridge Suites,Orlando,FL,,,Hunter,,Extended-stay,Tours Jul 28-29,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Courtyard by Marriott Brunswick,Pass,Courtyard,Brunswick,GA,93,,DDM Hotels,,Select-service,Final tours Jul 21,,Jul 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Embassy Suites Atlanta Galleria,Underwrite,Embassy Suites,Atlanta,GA,,,Hunter,,Full-service,CFO Aug 5; Tier 1 files open,,Jul 9,★ Bhavnesh: wants guidance | Bhavnesh flagged - wants guidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fairfield Inn & Suites Atlanta Stonecrest,Pass,Fairfield Inn,Stonecrest,GA,,,Revere,,Select-service,Marketing (Tier 1 open),,May 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fairfield Inn Morrow,Pass,Fairfield Inn,Morrow,GA,92,"$17,000,000",Avison Young,,Select-service,Marketing (new build 2026),,May 27,ATL MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Four Points College Park Atlanta Airport,Pass,Four Points,College Park,GA,,,Hunter,,Select-service,Just listed,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Hampton Inn Atlanta/Woodstock,Pass,Hampton Inn,Woodstock,GA,60,,DSH Hotel Advisors,,Select-service,For sale,,Jun 5,"$1.5M+ recent reno, off I-575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Home2 Suites Stockbridge,Pass,Home2 Suites,Stockbridge,GA,,,Broker,,Extended-stay,★ Bhavnesh fwd - lowball,,May 21,"ATL MSA, close by",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Residence Inn Atlanta,Pass,Residence Inn,Atlanta,GA,131,,RealInsight,,Extended-stay,Marketing,,Jul 9,Value-add / operational upside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Staybridge Suites McDonough,Pass,Staybridge Suites,McDonough,GA,88,"$16,500,000",Avison Young,,Extended-stay,Just listed (new build),,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,TownePlace Suites Savannah Midtown,Pass,TownePlace Suites,Savannah,GA,,,Hunter,,Extended-stay,Tours Jul 9,,Jun 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Courtyard Louisville Downtown,Pass,Courtyard,Louisville,KY,,,Hunter,,Select-service,Tours Jul 22-23,,Jul 9,★ Bhavnesh forwarded | Bhavnesh forwarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Embassy Suites Cincinnati RiverCenter,Pass,Embassy Suites,Covington/Cincinnati,KY,,,Alchemy REA,,Full-service,Offers Jul 14 · Bhavnesh flagged,,Jul 1,★ Bhavnesh/Bhavin eval ~$10-12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Hampton Inn & Suites Baton Rouge (HREC),Pass,Hampton Inn,Baton Rouge,LA,,,HREC,,Select-service,CFO Jun 25,,Jun 15,Distinct from Homewood BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Hampton Inn Covington,Pass,Hampton Inn,Covington,LA,,,Hotel Brokers of America,,Select-service,Marketing (PIP complete),,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hampton Inn Slidell,Pass,Hampton Inn,Slidell,LA,,,Hotel Brokers of America,,Select-service,Marketing,,Jun 18,Prime I-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Holiday Inn Express & Suites New Orleans Airport S,Pass,Holiday Inn Express,New Orleans,LA,134,"$16,950,000",DSH Hotel Advisors,,Select-service,New price (3.68x),,Jun 4,$4.3M+ recent CapEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Homewood Suites Baton Rouge,Pass,Homewood Suites,Baton Rouge,LA,115,,Hunter,,Extended-stay,Just listed,,Jul 8,Adjacent to LSU / OLOL medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MOXY New Orleans Downtown/French Quarter,Pass,MOXY,New Orleans,LA,,,JLL,,Select-service,Tours,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Candlewood Suites Flowood,Pass,Candlewood Suites,Flowood,MS,,,HREC,,Extended-stay,New listing,,Jul 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Dual-Brand Fairfield & TownePlace Suites Waveland,Pass,Fairfield/TownePlace,Waveland,MS,,,HREC,,Dual-brand,Marketing,,Jun 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Home2 Suites Memphis-Southaven,Pass,Home2 Suites,Southaven,MS,,,Hunter,,Extended-stay,CFO Jun 24,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Homewood Suites Jackson - Ridgeland,Pass,Homewood Suites,Ridgeland,MS,,,HREC,,Extended-stay,Marketing,,Jun 30,"3rd-party operated, low basis/key",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Meridian MS Hotel Package (Hampton + HGI),Pass,Hampton/HGI,Meridian,MS,,,Hilco Global,,Portfolio,CFO Jul 22,,Jun 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Staybridge Suites Flowood - NW Jackson,Pass,Staybridge Suites,Flowood,MS,97,,Marcus & Millichap,,Extended-stay,RFO,,Jun 18,RevPAR ~$87 TTM Apr'26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Courtyard Wilmington Wrightsville Beach,Pass,Courtyard,Wilmington,NC,,,Hunter,,Select-service,Tours Jun 25 / CFO Jul 7,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Former Club Wyndham Fairfield Mtns Maple Ridge,Pass,Independent,Lake Lure,NC,68 units,,Hilco Global,,Resort,Bid deadline,,Jun 16,Lakefront turnkey conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Hampton Inn Asheboro,Pass,Hampton Inn,Asheboro,NC,,,Alchemy REA,,Select-service,Offers due Jul 1,,Jun 18,Institutionally owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Hilton Garden Inn Wilmington Mayfaire Town Center,Pass,Hilton Garden Inn,Wilmington,NC,,,Revere,,Select-service,Marketing (Tier 1 open),,Jun 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Holiday Inn Express Asheville Woodfin,To review,Holiday Inn Express,Asheville,NC,109,,DDM Hotels,,Select-service,Tours Jun 30 / offers Jul 31,,Jun 10,Newly constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Residence Inn / Fairfield Inn & Suites Charlotte Airport,To review,Residence Inn / Fairfield,Charlotte,NC,,$36M guidance,JLL,,Portfolio,★ SLP BID ~$34.5M R1,,May 12,CFO May 14; John Testerman/Alex Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Homewood Suites Pittsburgh Downtown,Pass,Homewood Suites,Pittsburgh,PA,,,CBRE,,Extended-stay,CFO was TODAY Jul 16,,Jul 6,★ Bhavnesh: get more info | Offered individually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Staybridge Suites Myrtle Beach West,Pass,Staybridge Suites,Myrtle Beach,SC,119,,DDM Hotels,,Extended-stay,Tours Aug 12; offers due Aug 21,,Jun 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Staybridge Suites North Charleston,Pass,Staybridge Suites,Charleston,SC,93,,DDM Hotels,,Extended-stay,Back on market,,Jun 1,Fully renovated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,aloft Columbia Harbison,Pass,Aloft,Columbia,SC,,,HREC,,Select-service,CFO round 2 Jun 15,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
